WARD,All_Res_2005,Single_2005,Condo_2005,2-4_2005,5+_2005,All_Res_2006,Single_2006,Condo_2006,2-4_2006,5+_2006,All_Res_2007,Single_2007,Condo_2007,2-4_2007,5+_2007,All_Res_2008,Single_2008,Condo_2008,2-4_2008,5+_2008,All_Res_2009,Single_2009,Condo_2009,2-4_2009,5+_2009,All_Res_2010,Single_2010,Condo_2010,2-4_2010,5+_2010,All_Res_2011,Single_2011,Condo_2011,2-4_2011,5+_2011,All_Res_2012,Single_2012,Condo_2012,2-4_2012,5+_2012,All_Res_2013,Single_2013,Condo_2013,2-4_2013,5+_2013,All_Res_2014,Single_2014,Condo_2014,2-4_2014,5+_2014,All_Res_2015,Single_2015,Condo_2015,2-4_2015,5+_2015,All_Res_2016,Single_2016,Condo_2016,2-4_2016,5+_2016,All_Res_2017,Single_2017,Condo_2017,2-4_2017,5+_2017
29,253,143,15,89,6,314,167,24,113,10,409,230,26,143,10,538,285,53,178,22,507,273,58,156,20,510,275,87,136,12,410,212,63,119,16,477,276,50,138,13,275,156,38,75,6,201,99,24,66,12,194,98,11,77,8,184,102,7,73,2,174,104,8,61,1
3,157,47,64,42,4,313,56,150,85,22,453,87,244,112,10,605,87,406,100,12,584,81,423,71,9,613,94,442,65,12,513,69,378,52,14,470,63,364,38,5,301,39,218,35,9,181,29,120,30,2,153,31,95,24,3,116,31,65,16,4,117,26,63,25,3
30,58,40,1,17,,130,86,3,41,,246,145,11,89,1,468,263,28,176,1,568,309,39,214,6,617,342,61,204,10,400,239,27,132,2,373,213,39,117,4,211,123,10,74,4,114,72,11,31,,85,54,3,26,2,90,54,2,33,1,96,64,4,28,
31,77,48,,28,1,80,41,2,37,,234,117,20,97,,471,213,75,179,4,527,257,70,195,5,499,263,52,179,5,391,189,52,136,14,352,179,43,124,6,181,103,20,55,3,119,63,8,44,4,91,51,4,35,1,66,35,7,23,1,73,55,2,16,
32,63,24,20,18,1,69,17,17,35,,119,36,38,45,,200,50,72,73,5,313,88,137,81,7,291,69,114,102,6,229,58,102,57,12,208,48,97,58,5,97,30,44,22,1,59,19,23,15,2,38,10,14,14,,36,9,9,17,1,41,10,13,15,3
33,61,18,15,28,,73,19,16,37,1,173,51,55,66,1,298,77,81,135,5,371,104,118,142,7,429,95,154,172,8,327,77,123,119,8,281,65,110,98,8,144,37,61,45,1,98,25,32,41,,57,12,20,25,,48,16,11,20,1,57,16,14,27,
34,601,530,1,69,1,792,686,,106,,942,821,1,118,2,932,793,2,135,2,722,636,,83,3,667,602,2,61,2,604,551,,52,1,740,668,3,65,4,461,417,2,37,5,345,307,4,31,3,335,310,,25,,337,313,2,21,1,305,279,2,24,
35,60,26,6,28,,88,33,8,46,1,190,70,20,98,2,367,111,56,192,8,437,133,93,205,6,430,133,73,216,8,307,106,56,140,5,271,102,44,124,1,151,58,23,68,2,93,36,16,37,4,62,33,5,22,2,69,32,12,23,2,64,22,10,30,2
36,112,79,1,32,,172,117,7,48,,269,177,15,76,1,524,350,28,144,2,674,433,63,176,2,656,464,57,134,1,490,327,32,126,5,390,281,38,71,,244,166,13,60,5,171,125,8,34,4,127,91,6,29,1,115,83,9,22,1,103,74,4,24,1
37,350,181,8,154,7,414,199,9,200,6,600,283,11,286,20,727,293,44,373,17,567,268,11,256,32,539,277,7,242,13,440,222,17,187,14,504,265,10,216,13,285,152,9,119,5,210,108,7,85,10,217,115,3,98,1,185,107,4,68,6,183,93,5,82,3
38,92,69,10,13,,111,92,5,14,,229,183,13,33,,446,346,45,55,,525,395,60,69,1,528,368,98,62,,413,306,54,53,,378,273,65,40,,239,161,52,26,,135,100,23,12,,125,90,18,16,1,89,70,4,14,1,91,65,16,10,
39,59,33,12,14,,97,50,16,28,3,162,78,32,51,1,313,148,82,79,4,427,196,148,81,2,454,224,155,74,1,316,156,97,60,3,266,145,73,46,2,163,92,47,23,1,96,53,30,13,,75,44,20,11,,80,55,12,13,,55,43,9,3,
